0.6453012072,0.1536613560,0.1693033010,0.5059643145,0.5255397780,0.6916055522,0.4584490477,0.4187047165,0.8003485643,0.1268912758,0.5628514317,0.8844792135,0.2944256967,0.6791939413,0.7572044379,0.1914766053,0.8892716104,0.8045371700,0.4943108559
1.9752037841,0.6581188735,0.7675808770,0.1092274589,0.4228245004,0.6464188498,0.3191179157,0.2767160045,0.8116993354,0.7871219568,0.0527242405,0.7959917705,0.8166352045,0.0023195468,0.6136758628,0.8458802727,0.6585311332,0.0778022255,0.5230257636
0.0770687274,0.7975965264,0.9687459069,0.2469493361,0.1131605814,0.6334037276,0.3203546658,0.7373152903,0.9818290600,0.6218598140,0.0682240917,0.2725305160,0.8602227267,0.5357257382,0.5625253284,0.0878528319,0.4052501549,0.9115661147,0.5245005120
0.9692543245,0.1975138291,0.3382755361,0.7154172315,0.6054675677,0.6079573630,0.9301832203,0.5918770577,0.1952855146,0.7490450198,0.8291073333,0.7958001028,0.1716596904,0.7331902569,0.2069958283,0.1073212611,0.1063476337,0.2375511505,0.6762985365
0.4463731493,0.0790147813,0.4160102580,0.3977447016,0.8538995781,0.8816974232,0.1569551083,0.5633292568,0.1892392885,0.9531168764,0.1291218179,0.1409406463,0.0552610796,0.2099301367,0.4494270355,0.7553077774,0.5281711367,0.5531815736,0.4772702459
-0.3307697223,0.9388513022,0.3054243003,0.6089643414,0.1424377031,0.4296667903,0.4665435189,0.1051953377,0.2163172697,0.4332563463,0.0134894463,0.2195923002,0.5809819219,0.0195466718,0.9123350273,0.5270211492,0.7697245185,0.9896028519,0.5900457832
2.3048398732,0.7404666892,0.0778521862,0.8550139094,0.5100691471,0.7988206446,0.6415360596,0.0331463734,0.0169576016,0.2812387681,0.1022737514,0.3117666612,0.7125888551,0.6132992785,0.5616117211,0.0480309935,0.6238936550,0.5553827247,0.5384624671
1.5256191002,0.5189641484,0.8672735233,0.4577246381,0.1649813623,0.9563128107,0.3928861326,0.8690768017,0.3887029125,0.9326071172,0.8958390182,0.8718330250,0.4936507020,0.1085438278,0.0098664060,0.6455051664,0.5714569419,0.6305979065,0.3867702177
-0.4766868917,0.9166752385,0.9175634384,0.2520332582,0.0057151967,0.5134987872,0.3960560654,0.3054181042,0.4615113878,0.2521677905,0.0285984299,0.9476326564,0.7052866475,0.0996573163,0.9513412115,0.9973310368,0.0802273332,0.0942612513,0.7529190644
0.5145437366,0.1109739191,0.2230977052,0.4525051938,0.8534606982,0.0411190247,0.5556002182,0.1525985603,0.9808379443,0.5152722121,0.0626622720,0.9064239632,0.2714373585,0.0450667881,0.9599106533,0.4657504392,0.6719905101,0.3399839333,0.6708164612
