278.0,3,4,5,3,3,2,3,4,3,5,2,3,4,3,2,70.0
1181.0,5,4,4,5,5,3,3,5,5,5,3,4,4,4,2,227.0
1248.0,3,4,4,5,4,2,4,4,3,4,2,4,4,3,2,177.9
480.0,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,115.8
120.0,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,29.5
60.0,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,19.7
300.0,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,66.6
18.0,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,5.5
50.0,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,10.4
60.0,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,14.0
114.0,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,16.0
42.0,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,6.5
60.0,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,13.0
42.0,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,8.0
450.0,3,3,4,3,3,3,3,3,3,4,3,4,4,4,3,90.0
90.0,4,3,3,4,3,3,3,3,4,4,3,3,3,3,3,15.0
210.0,4,3,4,3,3,3,3,3,4,4,3,3,3,3,3,38.0
48.0,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,10.0
815.0,3,5,4,5,5,2,4,5,4,3,2,4,5,5,2,161.1
239.0,3,5,4,5,5,2,4,5,4,3,2,4,5,5,2,48.5
170.0,3,5,4,5,5,2,4,5,4,3,2,4,5,5,2,32.6
62.0,3,5,4,5,5,2,4,5,4,3,2,4,5,5,2,12.8
70.0,3,5,4,5,5,2,4,5,4,3,2,4,5,5,2,15.4
82.0,3,5,4,5,5,2,4,5,4,3,2,4,5,5,2,16.3
192.0,3,5,4,5,5,2,4,5,4,3,2,4,5,5,2,35.5
117.6,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,25.9
117.6,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,24.6
31.2,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,7.7
25.2,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,9.7
8.4,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,2.2
10.8,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,3.5
36.0,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,8.2
352.8,4,2,4,3,3,2,2,3,3,3,3,4,4,3,2,66.6
324.0,3,2,4,3,6,2,2,4,5,5,3,4,3,3,3,150.0
360.0,3,2,4,3,3,2,2,4,3,3,3,1,3,3,3,100.0
215.0,3,2,4,3,3,4,2,4,4,4,2,1,3,3,3,100.0
360.0,3,2,4,3,3,2,2,4,5,5,3,4,3,3,3,100.0
48.0,3,2,4,3,3,2,2,4,5,4,3,4,3,3,3,15.0
60.0,3,2,4,3,6,2,2,4,4,3,3,4,3,3,3,32.5
60.0,3,2,4,3,3,2,2,4,4,4,3,4,3,3,3,31.5
24.0,3,2,4,3,3,2,2,4,5,4,3,4,3,3,3,6.0
36.0,3,2,4,3,3,2,2,4,5,3,3,2,3,3,3,11.3
72.0,3,2,4,3,3,2,2,4,5,5,3,4,3,3,3,20.0
48.0,3,2,4,3,3,2,2,4,5,4,3,4,3,3,3,20.0
72.0,4,2,4,6,6,2,4,4,4,4,3,4,4,4,3,7.5
2400.0,4,2,4,3,3,2,2,3,3,4,3,3,4,1,3,302.0
3240.0,4,3,4,4,4,2,4,3,4,3,3,3,2,5,3,370.0
2120.0,4,3,4,4,4,2,4,3,4,3,3,3,2,5,3,219.0
370.0,4,3,4,4,4,2,4,3,4,3,3,3,2,5,3,50.0
750.0,4,3,5,4,4,2,4,4,3,3,4,4,2,5,4,101.0
420.0,3,3,3,3,3,2,3,4,5,5,2,4,4,3,3,190.0
252.0,3,3,4,3,4,3,3,4,4,3,3,4,4,3,4,47.5
107.0,5,3,6,4,4,2,2,3,4,3,3,3,2,4,3,21.0
2300.0,2,3,3,3,3,2,2,4,4,5,3,4,2,2,4,423.0
400.0,4,4,3,3,3,2,2,3,4,4,3,4,3,3,3,79.0
973.0,4,4,2,3,3,3,4,4,4,3,3,3,4,3,3,284.7
1368.0,3,4,2,3,3,4,3,4,4,3,3,3,4,4,3,282.1
571.4,3,4,4,5,3,3,4,4,4,4,3,4,2,2,4,78.0
98.8,3,4,4,5,3,3,4,4,4,4,3,4,2,2,4,11.4
155.0,3,4,4,5,3,3,4,4,4,4,3,4,2,2,4,19.3
