117.6,2,1,1,1979.0,2,0,1,0,1,1,1,1,1,2,1,2,0,0,2,1,25.9
117.6,2,1,1,1979.0,2,0,1,0,1,1,1,1,1,2,1,2,0,0,2,1,24.6
31.2,2,1,1,1979.0,2,0,1,0,1,1,1,1,1,2,1,2,0,0,2,1,7.7
36.0,2,1,1,1979.0,2,0,1,0,1,1,1,1,1,2,1,2,0,0,2,1,8.2
25.2,2,1,1,1979.0,2,0,1,0,1,1,1,1,1,2,1,2,0,0,2,1,9.7
8.4,2,1,1,1979.0,2,0,1,0,1,1,1,1,1,2,1,2,0,0,2,1,2.2
10.8,2,1,1,1979.0,2,0,1,0,1,1,1,1,1,2,1,2,0,0,2,1,3.5
352.8,2,1,1,1982.0,2,0,1,0,1,1,1,1,1,2,1,2,0,0,2,1,66.6
72.0,7,1,0,1980.0,2,0,1,0,3,3,1,0,0,0,0,2,0,0,0,2,7.5
72.0,7,1,0,1980.0,2,2,1,0,1,1,1,1,0,3,2,2,0,2,2,2,20.0
24.0,7,1,0,1984.0,2,2,1,0,1,1,1,1,0,3,0,2,0,2,2,2,6.0
360.0,7,1,0,1980.0,2,2,1,0,1,1,1,1,0,3,2,2,0,2,2,2,100.0
36.0,7,1,0,1985.0,2,2,1,0,1,1,1,1,0,3,1,2,1,2,2,2,11.3
215.0,7,1,0,1980.0,2,2,1,0,1,1,0,1,0,0,0,1,3,2,2,2,100.0
48.0,7,1,0,1983.0,2,2,1,0,1,1,1,1,0,3,0,2,0,2,2,2,20.0
360.0,7,1,0,1982.0,2,2,1,0,1,1,1,1,0,2,1,2,3,2,2,2,100.0
324.0,7,1,0,1980.0,2,2,1,0,1,3,1,1,0,3,2,2,0,2,2,2,150.0
60.0,7,1,0,1984.0,2,2,1,0,1,1,1,1,0,0,0,2,0,2,2,2,31.5
48.0,7,1,0,1983.0,2,2,1,0,1,1,1,1,0,3,0,2,0,2,2,2,15.0
60.0,7,1,0,1984.0,2,2,1,0,1,3,1,1,0,0,1,2,0,2,2,2,32.5
60.0,2,1,1,1985.0,2,0,1,0,1,1,1,1,1,2,1,2,0,0,2,1,19.7
300.0,2,1,1,1985.0,2,0,1,0,1,1,1,1,1,2,1,2,0,0,2,1,66.6
