102.4,25,150,75,60,1.0,1750.0,1750
105.2,193,98,70,36,1.0,1902.0,1902
11.1,70,27,0,12,0.8,535.0,428
21.1,40,60,20,12,1.15,660.0,759
28.8,10,69,1,9,0.9,478.89,431
10.0,13,19,0,23,0.75,377.33,283
8.0,34,14,0,5,0.8,256.25,205
4.9,17,17,15,5,1.1,262.73,289
12.9,45,64,14,16,0.95,715.79,680
19.0,40,60,20,15,1.15,690.43,794
10.8,41,27,29,5,1.1,465.45,512
2.9,33,17,8,5,0.75,298.67,224
7.5,28,41,16,11,0.85,490.59,417
12.0,43,40,20,35,0.85,802.35,682
4.1,7,12,13,8,0.95,220.0,209
15.8,28,38,24,9,1.05,487.62,512
18.3,42,57,12,5,1.1,550.91,606
8.9,27,20,24,6,1.1,363.64,400
38.1,48,66,13,50,1.15,1073.91,1235
61.2,69,112,21,39,1.2,1310.0,1572
3.6,25,28,4,22,1.05,476.19,500
11.8,61,68,0,11,1.0,694.0,694
0.5,15,15,6,3,1.05,189.52,199
6.1,12,15,0,15,0.95,273.68,260
