5152,12,253,52,305,302
5635,4,197,124,321,315
805,1,40,60,100,83
3829,5,200,119,319,303
2149,4,140,94,234,208
2821,4,97,89,186,192
2569,9,119,42,161,145
3913,13,186,52,238,214
7854,12,172,88,260,247
2422,4,78,38,116,103
4067,21,167,99,266,237
9051,17,146,112,258,271
2282,3,33,72,105,88
4172,8,162,61,223,216
4977,9,223,121,344,320
1617,8,119,48,167,152
3192,8,57,43,100,108
3437,14,68,316,384,326
4494,14,9,386,395,340
840,5,58,34,92,86
14973,12,318,269,587,581
5180,18,88,170,258,255
5775,5,306,132,438,447
10577,20,304,78,382,397
3983,8,89,200,289,283
3164,14,86,230,316,310
3542,6,71,235,306,312
4277,14,148,324,472,491
7252,16,116,170,286,263
3948,14,175,277,452,461
3927,6,79,128,207,190
710,9,145,38,183,168
2429,9,174,78,252,267
6405,5,194,91,285,285
651,3,126,49,175,180
9135,17,317,119,436,432
1435,11,289,88,377,351
5922,8,260,144,404,360
847,4,158,59,217,180
8050,16,302,145,447,523
4620,9,451,48,499,464
2352,34,661,132,793,698
2174,10,64,54,118,106
19894,39,284,230,514,591
6699,18,182,126,308,308
14987,27,173,332,505,424
4004,9,252,7,259,241
12824,11,131,180,311,361
2331,8,106,39,145,103
5817,9,96,108,204,192
2989,7,116,72,188,156
3136,6,86,49,135,131
14434,17,221,121,342,342
2583,12,61,96,157,130
3647,12,132,89,221,155
8232,13,45,387,432,350
3276,12,55,112,167,129
2723,8,124,52,176,139
3472,5,120,126,246,197
1575,6,47,32,79,62
2926,12,126,107,233,205
1876,6,101,45,146,117
2520,5,78,99,177,140
1603,13,69,74,143,113
3626,8,194,97,291,291
6783,10,224,110,334,309
11361,15,323,184,507,507
1267,6,42,31,73,67
2548,5,74,43,117,105
1155,10,101,57,158,117
546,6,97,42,139,99
2275,13,134,77,211,165
9100,26,482,227,709,645
595,6,213,73,286,203
3941,22,139,143,282,245
13860,24,473,182,655,688
1400,12,229,169,398,414
2800,12,227,73,300,297
9520,24,395,193,588,617
5880,12,469,176,645,697
23940,36,886,241,1127,1116
