7490,1587,774,260,340,128,0,1502,0,0,5.0,4,4.0
4150,260,9,4,3,193,41,51,138,61,16.6,2,17.0
668,152,25,33,28,42,35,163,0,0,4.1,1,9.0
3238,252,151,28,8,39,0,69,153,4,17.3,1,4.0
2994,292,93,0,194,20,0,0,307,0,11.7,1,13.0
1333,83,63,0,24,0,0,0,87,0,18.5,1,4.0
1607,79,24,0,23,30,0,0,77,0,25.1,1,6.0
1158,97,0,108,7,0,5,120,0,0,9.7,2,7.0
1243,116,0,23,58,14,20,81,34,0,13.0,1,6.0
3372,52,39,7,0,0,0,0,46,0,88.3,1,7.0
10200,465,209,129,24,83,15,460,0,0,22.2,1,9.0
1704,67,32,5,16,7,0,25,35,0,34.2,1,7.0
2640,199,0,115,57,0,42,214,0,0,14.2,2,7.0
3348,176,13,54,54,40,7,168,0,0,19.9,1,26.0
676,391,208,26,81,25,0,38,302,0,2.4,1,7.0
911,263,65,45,101,42,10,176,87,0,3.5,1,3.0
2496,42,12,15,3,7,15,52,0,0,48.0,1,6.4
1171,190,98,20,16,63,5,160,42,0,5.8,1,10.0
3532,245,105,28,18,58,0,19,190,0,16.9,1,13.0
436,77,28,0,42,0,0,0,70,0,7.5,1,1.0
909,355,278,0,73,0,0,0,351,0,3.1,1,4.0
9094,3156,2075,525,97,0,0,28,12,2657,4.1,1,6.0
344,46,0,28,0,25,0,28,25,0,6.5,1,6.0
296,56,14,12,15,7,5,53,0,0,5.6,4,3.0
3503,106,65,4,12,14,0,35,53,7,44.4,1,13.0
246,71,31,28,9,7,0,31,23,21,3.9,1,1.0
2082,306,51,105,0,105,45,306,0,0,6.8,2,24.0
191,244,68,78,22,62,14,244,0,0,0.8,4,7.0
2974,98,21,46,3,44,0,114,0,0,31.4,1,15.0
328,331,100,44,61,107,0,312,0,0,1.3,1,2.0
406,101,16,5,39,52,0,112,0,0,3.6,1,8.0
1785,192,9,102,0,10,77,198,0,0,10.9,1,8.0
471,60,39,4,0,14,10,39,22,6,7.0,2,8.0
700,180,74,18,33,57,0,153,29,0,3.8,2,5.0
579,118,43,71,7,0,0,38,83,0,5.8,1,2.0
1211,73,43,10,4,15,0,6,66,0,20.3,1,3.0
1139,143,63,0,27,45,0,14,121,0,10.2,1,4.0
14520,2190,706,648,236,235,0,1825,0,0,9.1,2,19.0
239,9,0,10,0,0,0,5,5,0,23.9,1,2.0
1262,203,21,167,3,10,0,201,0,0,7.6,1,5.0
1754,162,64,36,9,28,20,157,0,0,11.2,1,8.0
1514,183,60,21,29,71,0,181,0,0,10.1,1,6.0
667,59,36,21,0,0,0,6,51,0,14.1,1,8.0
5864,412,198,14,99,91,10,412,0,0,14.2,1,20.0
973,348,198,14,33,77,0,10,312,0,3.6,1,3.0
5333,2529,554,513,66,703,220,2056,0,0,2.6,2,13.0
1775,250,28,92,57,0,30,164,43,0,8.6,2,8.0
204,206,0,199,0,0,5,100,104,0,1.2,1,5.0
3148,617,184,136,103,133,0,377,179,0,6.8,1,7.0
8716,173,0,78,10,17,72,177,0,0,59.3,1,12.0
1464,286,45,156,27,37,0,265,0,0,5.5,1,6.0
1358,52,13,17,6,10,5,20,16,15,32.1,1,2.0
281,45,6,28,0,0,25,59,0,0,4.8,2,7.0
2321,104,30,7,48,15,0,0,100,0,28.0,1,5.0
4054,465,234,44,104,118,0,431,15,54,9.8,1,13.0
2400,2145,862,63,491,518,300,2234,0,0,1.1,4,84.0
5650,283,20,125,39,91,17,292,0,0,19.3,1,13.0
1525,109,0,84,0,17,5,47,59,0,17.3,1,2.0
477,160,0,21,72,25,40,74,68,16,3.6,1,2.0
503,65,0,64,0,0,0,54,10,0,9.5,1,2.0
8470,366,160,27,96,72,0,260,84,11,28.7,1,10.0
778,63,18,10,3,28,0,16,43,0,15.9,1,3.0
2597,309,126,13,59,153,30,381,0,0,6.8,4,7.5
950,610,137,174,117,147,0,575,0,0,1.7,1,3.0
5727,562,165,125,93,119,0,502,0,0,11.4,3,13.0
2040,156,21,38,39,7,41,146,0,0,16.8,1,4.0
3677,75,30,5,19,21,0,40,35,0,59.1,1,8.0
570,136,42,64,0,21,0,0,127,0,5.4,1,2.0
1223,96,13,56,0,10,40,119,0,0,38.1,2,8.0
976,78,24,24,9,21,0,78,0,0,13.9,1,4.0
387,51,42,0,14,0,0,20,36,0,8.3,1,12.0
4416,1092,356,84,170,669,21,1300,0,0,4.1,1,13.0
286,134,42,11,32,35,14,134,0,0,2.6,1,8.0
305,75,24,9,0,36,0,0,69,0,5.3,1,5.0
129,88,18,20,0,43,0,36,45,0,1.9,1,7.0
4266,3088,1061,1009,772,241,5,544,2544,0,1.4,1,8.0
440,82,25,46,0,14,15,100,0,0,4.4,1,3.0
1362,110,30,66,0,7,0,18,85,0,13.2,1,2.0
2533,308,153,83,0,112,10,236,122,0,7.1,2,6.0
225,143,75,32,3,62,0,172,0,0,1.3,1,10.0
11045,826,292,326,155,32,0,396,139,270,13.7,1,13.0
32760,3460,484,1831,318,208,142,2756,227,0,11.0,4,24.0
2054,73,15,32,0,28,5,80,0,0,30.9,1,8.0
252,64,4,56,0,7,0,11,56,0,3.8,1,7.0
2362,497,122,28,113,273,10,454,92,0,4.3,2,8.0
2459,288,201,0,36,76,0,99,214,0,9.5,1,5.0
8706,494,134,62,140,91,67,494,0,0,17.6,1,21.0
770,130,60,65,0,0,0,14,111,0,6.2,1,6.0
8111,204,47,43,6,29,104,229,0,0,35.4,1,36.0
762,17,12,5,0,0,0,17,0,0,44.8,1,11.0
136,60,10,25,0,31,5,71,0,0,2.3,1,1.0
358,73,0,20,36,10,0,56,10,0,6.5,1,1.0
481,169,32,14,25,28,70,169,0,0,3.4,1,6.0
3189,1351,379,449,271,219,20,1173,29,136,2.9,1,8.0
22500,2087,862,444,303,437,0,2046,0,0,11.0,4,9.0
11719,253,72,0,107,29,44,252,0,0,49.8,1,13.0
183,102,37,26,10,29,0,102,0,0,2.4,1,5.0
1482,115,49,39,0,15,0,53,50,0,17.3,1,5.0
1251,288,18,186,21,15,60,300,0,0,4.2,2,11.0
943,199,104,7,77,0,0,0,188,0,6.0,1,8.0
2684,163,49,14,33,49,10,155,0,0,20.9,1,11.0
729,97,21,41,0,49,15,16,100,10,5.8,2,9.0
3630,439,82,222,19,85,10,105,313,0,8.7,1,7.0
34085,3113,2019,609,248,157,80,3113,0,0,13.5,1,24.0
2856,153,35,7,57,24,20,143,0,0,23.0,2,3.0
5757,670,346,97,122,79,0,146,498,0,10.8,1,6.0
631,129,19,93,3,10,30,0,155,0,4.1,2,15.0
2184,329,324,68,14,0,0,206,73,127,5.4,2,8.0
21014,5684,2221,454,820,1137,311,4943,0,0,4.3,1,37.0
417,61,27,4,24,17,0,72,0,0,7.0,1,4.0
2683,267,27,133,51,34,89,70,178,86,8.0,2,9.0
5532,218,78,16,56,77,0,227,0,0,29.4,1,4.0
4815,919,458,236,56,58,76,884,0,0,6.6,1,6.0
246,66,27,12,6,14,0,28,31,0,5.0,1,2.0
